X Field,X轴字段
Y Field, Y轴字段
Setting up an ERP can be overwhelming. But don't worry, we have got your back! This wizard will help you onboard to ERPNext in a short time!
{0} days ago, {0}天前
Rate (CNY), 单价(人民币)
Scheduler Inactive, 后台任务未启动
{0} records will be exported, 将导出 {0} 笔记录 
All Territory, 所有区域
Proposal Qualification, 投标审查
Pick List, 拣货单
Search for anything, 搜索任何内容
Is Transporter, 是物流公司
Attach a web link, 添加一个网址
Make {0} Variant, 生成{0}个多规格物料
Make Auto Attendance, 生成自动考勤记录
Login Password, 登录密码
at Row: {0}, 第{0}行
Bank Account Name, 户名
Bank Account Details, 银行账户详细信息
Sales Orders, 销售订单
%s is not a valid report format. Report format should \				one of the following %s,%s 不是有效的报表格式. 报表格式应以 \ 开头然后才是 %s
'Recipients' not specified,&#39;收件人&#39;未指定
&gt; {0} year(s) ago,&gt; {0}年前
&lt;head&gt; HTML,&lt;HEAD&gt; HTML
** Failed: {0} to {1}: {2},**失败：{0} {1}：{2}
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**月度分配**针对业务有季节性波动的情况，帮助你按月分配预算/目标
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**财年**表示财年。所有的会计分录和其他重大交易将根据**财年**跟踪。
-Above,-天以上
of,/
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草稿; 1 - 已提交; 2 - 已取消
01-Sales Return,01-销售退货
03-Deficiency in services,03-服务质量不达标
04-Correction in Invoice,04-发票纠正
06-Finalization of Provisional assessment,06-定期评估
07-Others,07，其他
0 is highest,0是最高的
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.",0级权限是单据级的权限，也就是说，它们是主要用于访问文件。
Set 0 for no limit,0表示不限数量
Enter 0 to waive limit,0表示不限次数
Oct,10
Nov,11
Dec,12
Auto close Opportunity after 15 days,15天之后自动关闭商机
1 month,1个月
1 minute ago,1分钟前
1 week,1周
1 hour ago,1小时前
1 record will be exported,将导出一笔记录
1 week ago,一周前
1 year,1年
1 star being lowest & 5 stars being highest rating,1星表示最低和5星为最高评价
Jan,01
1 comment,1条评论
January-April-July-October,1至4月，7- 10月
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1货币单位= [？]小额单位。例如1美元= 100美分
Jan 2019,2019-01
Feb 2019,2019-02
Mar 2019,2019-03
Apr 2019,2019-04
May 2019,2019-05
Jun 2019,2019-06
Jul 2019,2019-07
Aug 2019,2019-08
Sep 2019,2019-09
Nov 2019,2019-11
Dec 2019,2019-12
2 days ago,2天前
Feb,02
3 months,3个月
Mar,03
Apr,04
May,5月
5 Records,5笔记录
6 months,6个月
Jun,06
Jul,07
Aug,08
Sep,09
"<h4>Default Template</h4><p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p><pre><code>{{ address_line1 }}&lt;br&gt;{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}{{ city }}&lt;br&gt;{% if state %}{{ state }}&lt;br&gt;{% endif -%}{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}{{ country }}&lt;br&gt;{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>","<H4>默认模板</ H4>  <p> 使用<a  Jinja href=""http://jinja.pocoo.org/docs/templates/"">模板</A>和地址的所有字段（包括自定义字段如果有的话）将可</ P>  <前> <代码> {{address_line1}}＆LT; BR＆GT;  {％，如果address_line2％} {{address_line2}}＆LT; BR＆GT; { ENDIF％ - ％}  {{城市}}＆LT; BR＆GT;  {％，如果状态％} {{状态}}＆LT; BR＆GT; {％ENDIF - ％} {％，如果PIN代码％} PIN：{{PIN码}}＆LT; BR＆GT; {％ENDIF - ％}  {{国家}}＆LT; BR＆GT;  {％，如果电话％}电话：{{电话}}＆LT; BR＆GT; { ％ENDIF - ％}  {％，如果传真％}传真：{{传真}}＆LT; BR＆GT; {％ENDIF - ％}  {％，如果email_id％}电子邮件：{{email_id}}＆LT; BR＆GT {％ENDIF - ％}  </代码> </ PRE>"
<b>{0}</b> has been successfully unsubscribed from this mailing list.,<b>{0}</b>已成功地从这个邮件列表退订。
Customizations for <b>{0}</b> exported to:<br>{1},<b>{0}的</b>自定义已导出到： <br> {1}
